start_station_name,total_trips,start_lat,start_lng,postalCode,geometry,zip_code,HVI_Score
Grand Concourse & E 164 St,760,40.829608,-73.921461,10451,POINT (-73.921461 40.829608),10451,5.0
Grand Concourse & E 166 St,936,40.83196,-73.91956,10456,POINT (-73.91956 40.83196),10456,5.0
Grand Concourse & E 167 St,1206,40.834263,-73.917641,10456,POINT (-73.917641 40.834263),10456,5.0
Grand Concourse & E 171 St,431,40.839549,-73.913004,10456,POINT (-73.913004 40.839549),10456,5.0
Grand Concourse & E 175 St,420,40.84627592921954,-73.90931278467178,10457,POINT (-73.90931278467178 40.84627592921954),10457,5.0
Grand Concourse & E 176 St,495,40.84761,-73.90745,10457,POINT (-73.90745 40.84761),10457,5.0
Grand Concourse & E 181 St,381,40.85466,-73.9015,10457,POINT (-73.9015 40.85466),10457,5.0
Grand Concourse & E 184 St,751,40.85941,-73.8985,10458,POINT (-73.8985 40.85941),10458,5.0
Grand Concourse & E 192 St,668,40.86448,-73.89522,10458,POINT (-73.89522 40.86448),10458,5.0
Grand Concourse & E 196 St,462,40.86767,-73.89286,10458,POINT (-73.89286 40.86767),10458,5.0
Grand Concourse & E 197 St,462,40.86945,-73.89148,10458,POINT (-73.89148 40.86945),10458,5.0
Grand Concourse & E 199 St,303,40.87142,-73.88839,10458,POINT (-73.88839 40.87142),10458,5.0
Grand Concourse & E 203 St,344,40.87382,-73.88661,10458,POINT (-73.88661 40.87382),10458,5.0
Grand Concourse & E 205 St,279,40.875531,-73.8863864831,10468,POINT (-73.8863864831 40.875531),10468,4.0
Grand Concourse & E Mosholu Pkwy S,209,40.877964,-73.8847550291,10458,POINT (-73.8847550291 40.877964),10458,5.0
Grand Concourse & E Mount Eden Ave,827,40.84301,-73.91172,10457,POINT (-73.91172 40.84301),10457,5.0
Grand St & Elizabeth St,8745,40.718822,-73.99596,10013,POINT (-73.99596 40.718822),10013,2.0
Grand St & Greene St,5888,40.72170005235607,-74.00238141417502,10013,POINT (-74.00238141417502 40.72170005235607),10013,2.0
Grand St & Havemeyer St,5347,40.71286844,-73.95698119,11211,POINT (-73.95698119 40.71286844),11211,3.0
Grand St & Samuel Dickstein Plaza,4250,40.71511871996496,-73.98417055606842,10002,POINT (-73.98417055606842 40.71511871996496),10002,3.0
Great Jones St,7963,40.72743423,-73.99379025,10012,POINT (-73.99379025 40.72743423),10012,2.0
Green St & McGuinness Blvd,1084,40.73396,-73.95204,11222,POINT (-73.95204 40.73396),11222,3.0
Greene Ave & Grandview Ave,866,40.709697,-73.907856,11385,POINT (-73.907856 40.709697),11385,1.0
Greene Ave & Myrtle Ave,1335,40.698568,-73.918877,11237,POINT (-73.918877 40.698568),11237,4.0
Greene Ave & Nostrand Ave,2330,40.6883337,-73.950916,11216,POINT (-73.950916 40.6883337),11216,4.0
Greene Ave & Throop Ave,2509,40.6894932,-73.942061,11221,POINT (-73.942061 40.6894932),11221,4.0
Greene St & Prince St,4209,40.72511734422387,-73.99930492043495,10012,POINT (-73.99930492043495 40.72511734422387),10012,2.0
Greenpoint Ave & 47 St,893,40.7424,-73.91808,11377,POINT (-73.91808 40.7424),11377,3.0
Greenpoint Ave & Manhattan Ave,4494,40.73026,-73.95394,11222,POINT (-73.95394 40.73026),11222,3.0
Greenpoint Ave & Monitor St,518,40.73224,-73.94383,11222,POINT (-73.94383 40.73224),11222,3.0
Greenpoint Ave & West St,5412,40.729803,-73.959099,11222,POINT (-73.959099 40.729803),11222,3.0
